ANSWER,QUESTION.question,QUESTION.paragraph
"Some signs to check include the functioning of emitting devices, discharge, wetting zone, leakages in pipes and valves, and filter debris.",What are some signs to check for in the maintenance of drip irrigation?,5.1.7 Maintenance of drip irrigation system
Bacterial slime can be dissolved by hypochlorite injection.,What method can be used to dissolve bacterial slime?,5.1.6 Solution to clogging problems
Check for leakages through filter gaskets in the lids and flushing valves.,What should be checked for leakages in a drip irrigation system?,5.1.7 Maintenance of drip irrigation system
"In fertigation, water-soluble nutrients are applied directly to the plants' root zone via the drip irrigation system, improving nutrient uptake.",How are nutrients applied directly to the root zone in fertigation?,5.1.8 Fertigation
Filtration alone is not sufficient when wastewater is used for drip irrigation; chlorinating or other disinfection methods are also needed.,Which filtration method is not sufficient when wastewater is used for drip irrigation?,5.1.6 Solution to clogging problems
"When maintaining filters, check for any debris that can obstruct the drip irrigation system, including organic material and mineral precipitates.",What types of debris should be checked for in filter maintenance?,5.1.7 Maintenance of drip irrigation system
1401 cubic meters,What is the projected per capita water availability in India by 2025?,it will further decrease to 1401 cubic meter by 2025
30%,What percentage of crop production is at risk due to decreasing water availability?,putting at risk 30 % of our crop production.
Ministry of Water Resources,Which ministry initiated the Farmers Participatory Action Research Programme?,Farmers Participatory Action Research Programme was initiated during XI five-year plan by Ministry of Water Resources (MoWR).
Demonstrated five water management technologies,What specific outcome did IARI New Delhi achieve through its programme?,IARI New Delhi has successfully demonstrated five water management technologies to the farmers of three different operational areas
Five thousand hectares,How many hectares of improved water management technology demonstrations were conducted?,in form of five thousand hectare demonstrations of improved water management technologies on farmers’ fields.
Under the Farmers Participatory Action Research Programme,Under what initiative were the five water management technologies demonstrated by IARI New Delhi?,IARI New Delhi has successfully demonstrated five water management technologies to the farmers of three different operational areas
Due to decreasing per capita availability of water,Why are agricultural scientists facing a challenge in sustaining agricultural productivity?,The decreasing per capita availability of water is posing a challenge for agricultural scientists to sustain and enhance the agricultural productivity.
The objective was to transfer water management technologies to farmers.,What was the objective of the Farmers Participatory Action Research Programme?,It was with this objective of transferring these water management technologies to the farmers that the Farmers Participatory Action Research Programme was initiated
"Alwar district of Rajasthan, Jhajjar district of Haryana, and Bulandshahar district of Uttar Pradesh.",Which areas did IARI New Delhi's water management demonstrations cover?,"the farmers of three different operational areas i.e. Alwar district of Rajasthan, Jhajjar district of Haryana and Bulandshahar district of Uttar Pradesh."
Due to lack of development by the government departments and extension agencies.,Why has detailed information on water management technologies not been available?,The Scientists associated with the programme realized that detailed information on all these technologies is not available either
The challenge is to sustain and enhance agricultural productivity amidst decreasing water availability.,What challenge are agricultural scientists facing related to water and crop production?,The decreasing per capita availability of water is posing a challenge for agricultural scientists to sustain and enhance the agricultural productivity.
By evolving a number of improved water management technologies.,How has the Agriculture Research System addressed the need for better water management?,Agriculture Research System has evolved a number of improved water management technologies for enhancing the agricultural productivity per unit volume of water.
The Ministry of Water Resources initiated the programme during the XI five-year plan.,What was the role of the Ministry of Water Resources in the Farmers Participatory Action Research Programme?,Programme was initiated during XI five-year plan by Ministry of Water Resources (MoWR).
The brochure provides detailed information on five water management technologies.,What solutions did the brochure provide to address the gap in information?,to fulfill this gap the present extension brochure containing details of five water management technologies has been brought out.
They identified that detailed information on the technologies is not widely available.,What knowledge gap did the Scientists identify regarding water management technologies?,"Based on their experiences with the farmers, the Scientists associated with the programme realized that detailed information on all these technologies is not available."
Once a day or once every two days or once a week.,How often can fertilizers be injected into the irrigation system?,Fertilizers can be injected into the irrigation system at various frequencies once a day or once every two days or even once a week.
