,ANSWER,QUESTION.question,QUESTION.paragraph
828,Demonstrated five water management technologies,What specific outcome did IARI New Delhi achieve through its programme?,IARI New Delhi has successfully demonstrated five water management technologies to the farmers of three different operational areas
829,Five thousand hectares,How many hectares of improved water management technology demonstrations were conducted?,in form of five thousand hectare demonstrations of improved water management technologies on farmers’ fields.
830,Under the Farmers Participatory Action Research Programme,Under what initiative were the five water management technologies demonstrated by IARI New Delhi?,IARI New Delhi has successfully demonstrated five water management technologies to the farmers of three different operational areas
831,Due to decreasing per capita availability of water,Why are agricultural scientists facing a challenge in sustaining agricultural productivity?,The decreasing per capita availability of water is posing a challenge for agricultural scientists to sustain and enhance the agricultural productivity.
832,The objective was to transfer water management technologies to farmers.,What was the objective of the Farmers Participatory Action Research Programme?,It was with this objective of transferring these water management technologies to the farmers that the Farmers Participatory Action Research Programme was initiated
833,"Alwar district of Rajasthan, Jhajjar district of Haryana, and Bulandshahar district of Uttar Pradesh.",Which areas did IARI New Delhi's water management demonstrations cover?,"the farmers of three different operational areas i.e. Alwar district of Rajasthan, Jhajjar district of Haryana and Bulandshahar district of Uttar Pradesh."
834,Due to lack of development by the government departments and extension agencies.,Why has detailed information on water management technologies not been available?,The Scientists associated with the programme realized that detailed information on all these technologies is not available either
835,The challenge is to sustain and enhance agricultural productivity amidst decreasing water availability.,What challenge are agricultural scientists facing related to water and crop production?,The decreasing per capita availability of water is posing a challenge for agricultural scientists to sustain and enhance the agricultural productivity.
836,By evolving a number of improved water management technologies.,How has the Agriculture Research System addressed the need for better water management?,Agriculture Research System has evolved a number of improved water management technologies for enhancing the agricultural productivity per unit volume of water.
837,The Ministry of Water Resources initiated the programme during the XI five-year plan.,What was the role of the Ministry of Water Resources in the Farmers Participatory Action Research Programme?,Programme was initiated during XI five-year plan by Ministry of Water Resources (MoWR).
838,The brochure provides detailed information on five water management technologies.,What solutions did the brochure provide to address the gap in information?,to fulfill this gap the present extension brochure containing details of five water management technologies has been brought out.
839,They identified that detailed information on the technologies is not widely available.,What knowledge gap did the Scientists identify regarding water management technologies?,"Based on their experiences with the farmers, the Scientists associated with the programme realized that detailed information on all these technologies is not available."
840,Once a day or once every two days or once a week.,How often can fertilizers be injected into the irrigation system?,Fertilizers can be injected into the irrigation system at various frequencies once a day or once every two days or even once a week.
841,Venturi pumps,Name the first type of equipment used for fertigation.,"Commonly used fertigation equipments are 1) Venturi pumps, 2) Fertilizer tank (By‑pass system), 3) Fertilizer injection pump (Fig. 5.7)."
842,5.1.9 Frequency of Fertigation,What section discusses the frequency of fertigation?,5.1.9 Frequency of Fertigation
843,"System design, irrigation scheduling, soil type, nutrient requirement, and farmer's preference",What factors influence the frequency of fertigation?,"The frequency depends on system design, irrigation scheduling, soil type, nutrients requirement of crop and the farmer's preference."
844,Fig. 5.7,Which figure shows the methods for fertilizer injection?,Fig. 5.7: Methods for fertilizer injection
845,"1) Venturi pumps, 2) Fertilizer tank, 3) Fertilizer injection pump.",What types of fertilizers can be injected into drip irrigation systems?,"Fertilizers can be injected into drip irrigation system by selecting appropriate equipment. Commonly used fertigation equipments are: 1) Venturi pumps, 2) Fertilizer tank (By‑pass system), 3) Fertilizer injection pump (Fig. 5.7)."
846,NPK stock solution preparation instructions.,List the component for preparing NPK stock solution.,5.1.11 Preparation of NPK stock solution An example given below to instruct users how to prepare their own solutions.
847,Preparation of NPK stock solution,What example is given to instruct users in section 5.1.11?,5.1.11 Preparation of NPK stock solution An example given below to instruct users how to prepare their own solutions.
848,"Fertigation provides small, increasing, and then decreasing amounts of fertilizer to match plant growth stages and nutrient demands.",How does fertigation benefit plants when using the irrigation system?,"Plants receive small amounts of fertilizer early in the crop’s season, when plants are of the vegetative stage. The dosage is increased as fruit load and nutrient demands grow, and then decreased as plants approach the end of the crop’s cycle."
849,Fertigation ensures plants receive needed nutrients throughout their growth cycle.,What practice ensures plants receive needed nutrients throughout their growth cycle?,"This gives plants the needed amounts of fertilizer throughout the growth cycle, rather than a few large doses."
